RedFighter,BlueFighter,DaysSinceFirstFight,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightMt,BlueReachMt,BlueWeightKg,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightMt,RedReachMt,RedWeightKg,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishRound,FinishRoundInSeconds,TotalFightTimeMins,DaysSinceLastFight_Red,DaysSinceLastFight_Blue,Momentum_Red,Momentum_Blue,RestTimeDif,RedTotalFights,BlueTotalFights,ActivityRatio_Red,ActivityRatio_Blue,ActivityRatioDif
Eric Schafer,Jason Brilz,0,"Broomfield, Colorado, USA", USA,Blue,False,Light Heavyweight,MALE,3,1,0,0,31.6667,0.46,0.6667,1.6667,0.5,2,1,8,0,0,0,1,1,0,0,2,Orthodox,1.8,1.8,92.99,1,0,0,15.6667,0.588,1.3333,0.8333,0.145,2,3,9,0,0,0,0,1,2,0,3,Orthodox,1.9,1.9,83.91,32,34,0,0,0,-1,2,-1,0,0,-2,-10.16,-10.16,-2,16.0,-0.6667,0.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,3.0,300,15.0,0.0,0.0,0,0,0.0,6,3,6.0,3.0,3.0
Brandon Vera,Jon Jones,0,"Broomfield, Colorado, USA", USA,Blue,False,Light Heavyweight,MALE,3,1,0,0,39.0,0.478,0.25,2.5,0.525,3,1,9,0,0,0,2,0,1,0,3,Orthodox,1.93,2.13,92.99,1,0,0,30.7273,0.573,0.0909,0.5455,0.364,4,4,23,0,0,0,2,4,1,0,7,Orthodox,1.9,1.93,104.33,32,22,0,0,-1,-4,3,-14,0,-4,0,2.54,20.32,10,8.2727,0.1591,1.9545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,1.0,199,3.32,0.0,0.0,0,0,0.0,11,4,11.0,4.0,7.0
Junior Dos Santos,Gabriel Gonzaga,0,"Broomfield, Colorado, USA", USA,Red,False,Heavyweight,MALE,3,0,1,0,13.7,0.548,0.7,1.2,0.572,4,3,16,1,0,0,0,5,2,0,7,Orthodox,1.88,1.93,109.77,0,4,0,25.75,0.538,0.0,0.0,0.0,4,0,6,0,0,0,0,4,0,0,4,Orthodox,1.93,1.96,107.95,26,30,0,-3,0,3,-3,10,1,1,2,-5.08,-2.54,-4,-12.05,0.7,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,1.0,233,3.88,0.0,0.0,0,0,0.0,4,10,4.0,10.0,-6.0
Cheick Kongo,Paul Buentello,0,"Broomfield, Colorado, USA", USA,Red,False,Heavyweight,MALE,3,1,0,0,25.8,0.466,0.4,0.2,0.1,2,2,8,1,0,0,0,2,1,0,3,Orthodox,1.88,1.96,111.13,2,0,0,32.9091,0.604,0.2727,1.1818,0.476,3,4,22,0,1,0,1,4,0,1,7,Orthodox,1.93,2.08,108.86,34,36,1,0,-1,-4,2,-14,1,-3,1,-5.08,-12.7,-2,-7.1091,0.1273,-0.9818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,3.0,76,11.27,0.0,0.0,0,0,0.0,11,5,11.0,5.0,6.0
Alessio Sakara,James Irvin,0,"Broomfield, Colorado, USA", USA,Red,False,Middleweight,MALE,3,1,0,0,5.25,0.555,0.125,0.0,0.0,2,4,10,0,0,0,0,3,0,0,4,Orthodox,1.88,1.9,92.99,0,2,0,20.8,0.455,0.0,1.0,0.15,2,5,15,0,0,1,1,3,0,0,5,Orthodox,1.83,1.83,83.91,28,31,-1,-2,0,-1,1,-5,0,0,0,5.08,7.62,-3,-15.55,0.125,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,1.0,181,3.02,0.0,0.0,0,0,0.0,10,8,10.0,8.0,2.0
Mike Pierce,Julio Paulino,0,"Broomfield, Colorado, USA", USA,Red,False,Welterweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,1.83,1.85,77.11,1,0,0,40.5,0.405,0.0,3.5,0.52,1,1,6,0,0,0,1,0,0,0,1,Orthodox,1.73,1.78,77.11,29,34,1,0,-1,-1,1,-6,0,0,0,10.16,7.62,-5,-40.5,0.0,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,3.0,300,15.0,0.0,0.0,0,0,0.0,2,0,2.0,0.0,2.0
Eliot Marshall,Vladimir Matyushenko,0,"Broomfield, Colorado, USA", USA,Blue,False,Light Heavyweight,MALE,3,0,1,0,22.1667,0.51,0.1667,2.5,0.48,2,2,16,1,0,0,3,1,0,0,4,Orthodox,1.83,1.88,92.99,0,3,0,27.0,0.343,0.6667,0.3333,0.333,3,0,7,0,0,1,1,0,1,0,3,Orthodox,1.88,1.96,92.99,29,39,0,-2,-1,1,-2,9,1,1,-1,-5.08,-7.62,-10,-4.8333,-0.5,2.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,S-DEC,3.0,300,15.0,0.0,0.0,0,0,0.0,3,6,3.0,6.0,-3.0
Brendan Schaub,Chase Gormley,0,"Broomfield, Colorado, USA", USA,Red,False,Heavyweight,MALE,3,1,0,0,8.0,0.34,1.0,1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,1.9,1.96,120.2,1,0,0,12.0,0.25,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,Orthodox,1.93,1.98,111.13,27,27,0,0,0,0,0,0,-1,0,0,-2.54,-2.12,0,-4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,1.0,47,0.78,0.0,0.0,0,0,0.0,1,1,1.0,1.0,0.0
Clay Guida,Shannon Gugerty,0,"Broomfield, Colorado, USA", USA,Red,False,Lightweight,MALE,3,1,0,0,10.75,0.333,1.25,1.25,0.663,1,2,7,0,0,0,0,0,2,0,2,Orthodox,1.78,1.8,70.31,2,0,0,33.1,0.394,0.6,3.4,0.382,3,5,26,0,0,2,1,1,1,0,5,Orthodox,1.7,1.78,70.31,28,28,1,0,-2,-3,3,-19,0,-1,1,7.62,2.54,0,-22.35,0.65,-2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,2.0,220,8.67,0.0,0.0,0,0,0.0,10,4,10.0,4.0,6.0
Duane Ludwig,Darren Elkins,0,"Broomfield, Colorado, USA", USA,Blue,False,Lightweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,1.78,1.8,65.77,1,0,0,13.6667,0.577,0.0,0.0,0.0,2,1,5,0,0,0,1,1,0,0,2,Orthodox,1.78,1.78,77.11,31,25,1,0,-2,-2,1,-5,0,-1,0,0.0,2.54,6,-13.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,1.0,44,0.73,0.0,0.0,0,0,0.0,3,0,3.0,0.0,3.0
John Howard,Daniel Roberts,0,"Broomfield, Colorado, USA", USA,Red,False,Welterweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,1.78,1.88,77.11,0,3,0,18.0,0.55,1.0,4.6667,0.79,3,0,9,0,0,2,0,1,0,0,3,Orthodox,1.7,1.8,77.11,27,29,0,-3,-3,-3,0,-9,0,-1,0,7.62,7.62,-2,-18.0,-1.0,-4.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,1.0,121,2.02,0.0,0.0,0,0,0.0,3,0,3.0,0.0,3.0
Matthew Riddle,Greg Soto,6,"Newark, New Jersey, USA", USA,Red,False,Welterweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,1.8,1.85,77.11,1,0,0,45.75,0.638,1.0,3.75,0.503,3,1,12,0,0,0,3,0,0,0,3,Southpaw,1.85,1.88,77.11,24,23,1,0,-3,-3,1,-12,0,0,0,-5.08,-2.54,1,-45.75,-1.0,-3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,DQ,3.0,90,11.5,0.0,0.0,0,0,0.0,4,0,0.5714285714285714,0.0,0.5714285714285714
Georges St-Pierre,Dan Hardy,6,"Newark, New Jersey, USA", USA,Red,True,Welterweight,MALE,5,0,4,0,36.25,0.413,0.0,0.5,0.313,4,0,10,0,0,2,1,1,0,0,4,Orthodox,1.83,1.88,77.11,0,6,0,48.2,0.577,1.0667,3.4,0.751,6,2,38,8,0,1,5,5,2,0,13,Orthodox,1.8,1.93,83.91,28,27,0,-2,-2,-9,2,-28,-8,-4,-2,2.54,-5.08,1,-11.95,-1.0667,-2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,5.0,300,25.0,0.0,0.0,0,0,0.0,15,4,2.142857142857143,0.5714285714285714,1.5714285714285714
Frank Mir,Shane Carwin,6,"Newark, New Jersey, USA", USA,Blue,True,Heavyweight,MALE,5,0,3,0,7.3333,0.437,0.0,0.3333,0.167,3,0,3,0,0,0,0,3,0,0,3,Orthodox,1.88,2.03,120.2,0,1,0,10.3333,0.52,1.2667,0.8,0.351,4,4,20,3,0,0,1,2,7,0,11,Southpaw,1.9,2.01,119.75,30,35,0,2,-1,-8,4,-17,-3,1,-7,-2.54,2.54,-5,-3.0,-1.2667,-0.4667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,1.0,228,3.8,0.0,0.0,0,0,0.0,15,3,2.142857142857143,0.42857142857142855,1.7142857142857142
Kurt Pellegrino,Fabricio Camoes,6,"Newark, New Jersey, USA", USA,Red,False,Lightweight,MALE,3,1,0,0,22.0,0.3,2.0,5.0,1.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,1.78,1.85,70.31,0,3,0,22.4444,0.477,0.5556,2.1111,0.606,3,3,20,0,0,0,2,1,3,0,6,Orthodox,1.73,1.78,70.31,30,31,-1,-3,-3,-6,2,-17,0,-1,-3,5.08,7.62,-1,-0.4444,1.4444,2.8889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,2.0,260,9.33,0.0,0.0,0,0,0.0,9,1,1.2857142857142858,0.14285714285714285,1.142857142857143
Ben Saunders,Jon Fitch,6,"Newark, New Jersey, USA", USA,Blue,False,Welterweight,MALE,3,0,3,0,32.8333,0.5,0.9167,3.0833,0.561,8,1,34,1,0,1,6,1,3,0,11,Orthodox,1.83,1.93,77.11,0,1,0,28.0,0.668,1.2,0.2,0.2,3,1,9,0,0,0,1,2,1,0,4,Orthodox,1.88,1.96,77.11,26,32,0,2,5,7,0,25,1,-1,2,-5.08,-2.54,-6,4.8333,-0.2833,2.8833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,3.0,300,15.0,0.0,0.0,0,0,0.0,5,12,0.7142857142857143,1.7142857142857142,-0.9999999999999999
Rousimar Palhares,Tomasz Drwal,6,"Newark, New Jersey, USA", USA,Red,False,Middleweight,MALE,3,0,3,0,28.75,0.455,0.25,2.25,0.68,3,1,6,0,0,0,0,2,1,0,3,Orthodox,1.85,1.93,92.99,0,2,0,12.75,0.338,1.75,2.75,0.58,2,1,9,0,0,0,1,0,2,0,3,Orthodox,1.73,1.8,77.11,30,28,0,1,1,0,0,-3,0,2,-1,12.7,12.7,2,16.0,-1.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,1.0,45,0.75,0.0,0.0,0,0,0.0,4,4,0.5714285714285714,0.5714285714285714,0.0
Nate Diaz,Rory Markham,6,"Newark, New Jersey, USA", USA,Red,False,Welterweight,MALE,3,1,0,0,4.0,0.275,0.0,0.0,0.0,1,1,2,0,0,0,0,1,0,0,1,Orthodox,1.83,1.8,77.11,1,0,0,23.0,0.409,1.4444,1.3333,0.476,5,3,20,1,0,1,0,0,5,0,6,Southpaw,1.83,1.93,77.11,24,28,0,0,-4,-5,2,-18,-1,1,-5,0.0,-12.7,-4,-19.0,-1.4444,-1.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,1.0,167,2.78,0.0,0.0,0,0,0.0,9,2,1.2857142857142858,0.2857142857142857,1.0
Ricardo Almeida,Matt Brown,6,"Newark, New Jersey, USA", USA,Red,False,Welterweight,MALE,3,0,3,0,32.8,0.622,1.8,0.4,0.3,3,1,11,0,0,0,0,3,1,0,4,Orthodox,1.83,1.9,77.11,0,2,0,19.1429,0.59,1.4286,2.8571,0.493,2,3,16,0,0,0,2,0,2,0,4,Orthodox,1.83,1.88,77.11,33,29,0,1,1,0,2,-5,0,3,-1,0.0,2.54,4,13.6571,0.3714,-2.4571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,2.0,210,8.5,0.0,0.0,0,0,0.0,7,5,1.0,0.7142857142857143,0.2857142857142857
Rodney Wallace,Jared Hamman,6,"Newark, New Jersey, USA", USA,Blue,False,Light Heavyweight,MALE,3,1,0,0,6.0,0.35,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,1.9,1.9,83.91,1,0,0,15.0,0.42,2.0,7.0,0.46,0,1,3,0,0,0,0,0,0,0,0,Switch,1.75,1.83,92.99,28,28,0,0,0,0,0,-2,0,0,0,15.24,7.62,0,-9.0,-2.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,3.0,300,15.0,0.0,0.0,0,0,0.0,1,1,0.14285714285714285,0.14285714285714285,0.0
Jim Miller,Mark Bocek,6,"Newark, New Jersey, USA", USA,Red,False,Lightweight,MALE,3,0,3,0,16.8333,0.362,1.3333,2.3333,0.54,3,2,12,0,0,0,1,0,3,0,4,Orthodox,1.73,1.9,70.31,0,3,0,29.0,0.37,1.8333,2.5,0.39,3,1,15,0,0,0,2,1,2,0,5,Southpaw,1.73,1.8,70.31,26,28,0,0,0,-1,-1,-3,0,-1,1,0.0,10.16,-2,-12.1667,-0.5,-0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,3.0,300,15.0,0.0,0.0,0,0,0.0,6,6,0.8571428571428571,0.8571428571428571,0.0
Yushin Okami,Lucio Linhares,10,"Charlotte, North Carolina, USA", USA,Red,False,Middleweight,MALE,3,1,0,0,8.0,0.29,2.0,2.0,1.0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,1.88,1.89,83.91,1,0,0,29.1111,0.396,0.8889,1.8889,0.443,4,2,26,0,0,0,4,3,0,0,7,Southpaw,1.88,1.9,77.11,28,36,0,0,-4,-7,1,-24,0,-3,0,0.0,-1.3,-8,-21.1111,1.1111,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,2.0,167,7.78,0.0,0.0,0,0,0.0,9,1,0.8181818181818182,0.09090909090909091,0.7272727272727273
Jacob Volkmann,Ronys Torres,10,"Charlotte, North Carolina, USA", USA,Red,False,Lightweight,MALE,3,1,0,0,6.0,0.12,1.0,5.0,0.38,0,1,3,0,0,0,0,0,0,0,0,Orthodox,1.7,1.8,70.31,2,0,0,14.5,0.39,0.5,0.5,0.125,0,2,4,0,0,0,0,0,0,0,0,Southpaw,1.75,1.8,70.31,29,34,1,0,0,0,1,-1,0,0,0,-5.08,-0.04,-5,-8.5,0.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,S-DEC,3.0,300,15.0,0.0,0.0,0,0,0.0,2,1,0.18181818181818182,0.09090909090909091,0.09090909090909091
Charlie Brenneman,Jason High,10,"Charlotte, North Carolina, USA", USA,Red,False,Welterweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,1.73,1.8,70.31,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,1.78,1.83,70.31,29,28,0,0,0,0,0,0,0,0,0,-5.08,-2.54,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,3.0,300,15.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0
Gerald Harris,Mario Miranda,10,"Charlotte, North Carolina, USA", USA,Red,False,Middleweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,1.9,1.88,83.91,0,1,0,21.0,0.25,0.0,1.0,0.5,1,0,3,0,0,0,0,1,0,0,1,Southpaw,1.8,1.96,83.91,30,30,0,-1,-1,-1,0,-3,0,-1,0,10.16,-7.62,0,-21.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,1.0,289,4.82,0.0,0.0,0,0,0.0,1,0,0.09090909090909091,0.0,0.09090909090909091
Rob Emerson,Nik Lentz,10,"Charlotte, North Carolina, USA", USA,Blue,False,Lightweight,MALE,3,1,0,0,69.0,0.415,2.5,4.0,0.55,1,1,6,0,0,0,1,0,0,0,1,Orthodox,1.73,1.73,70.31,0,1,0,26.8333,0.427,0.1667,1.6667,0.338,2,3,14,0,0,1,1,1,0,0,3,Orthodox,1.75,1.78,70.31,28,25,-1,-1,-1,-2,2,-8,0,-1,0,-2.54,-5.08,3,42.1667,2.3333,2.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,3.0,300,15.0,0.0,0.0,0,0,0.0,6,2,0.5454545454545454,0.18181818181818182,0.3636363636363636
Nate Quarry,Jorge Rivera,10,"Charlotte, North Carolina, USA", USA,Blue,False,Middleweight,MALE,3,0,2,0,28.1818,0.532,0.0909,0.5455,0.182,2,5,21,0,0,1,2,3,0,0,6,Orthodox,1.85,1.85,83.91,0,2,0,31.0,0.389,0.0,0.1111,0.111,3,2,15,1,0,0,2,5,0,0,7,Open Stance,1.83,1.83,83.91,38,38,0,0,-1,-1,-3,6,-1,-2,0,2.54,2.54,0,-2.8182,0.0909,0.4343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,2.0,29,5.48,0.0,0.0,0,0,0.0,9,11,0.8181818181818182,1.0,-0.18181818181818177
Andre Winner,Rafaello Oliveira,10,"Charlotte, North Carolina, USA", USA,Red,False,Lightweight,MALE,3,0,1,0,25.0,0.36,2.0,5.0,0.71,1,1,6,0,0,0,1,0,0,0,1,Orthodox,1.73,1.8,70.31,0,1,0,30.0,0.515,0.0,0.0,0.0,1,1,4,1,0,0,0,1,0,0,1,Orthodox,1.8,1.85,70.31,28,28,0,0,0,0,0,2,-1,-1,0,-7.62,-5.08,0,-5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,3.0,300,15.0,0.0,0.0,0,0,0.0,2,2,0.18181818181818182,0.18181818181818182,0.0
Ross Pearson,Dennis Siver,10,"Charlotte, North Carolina, USA", USA,Red,False,Lightweight,MALE,3,0,3,0,20.0,0.329,0.2857,0.2857,0.214,3,3,13,0,0,0,0,3,1,0,4,Orthodox,1.68,1.78,65.77,0,2,0,66.5,0.525,0.0,0.0,0.0,2,0,5,1,0,0,1,0,0,1,2,Orthodox,1.73,1.75,70.31,25,31,0,1,1,2,-3,8,-1,2,1,-5.08,2.54,-6,-46.5,0.2857,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,3.0,300,15.0,0.0,0.0,0,0,0.0,2,7,0.18181818181818182,0.6363636363636364,-0.45454545454545453
Roy Nelson,Stefan Struve,10,"Charlotte, North Carolina, USA", USA,Red,False,Heavyweight,MALE,3,0,3,0,17.5,0.468,3.0,0.5,0.5,3,1,7,0,1,0,0,0,2,0,3,Orthodox,2.11,2.13,120.2,0,1,0,8.0,0.22,0.0,1.0,0.5,1,0,1,1,0,0,0,1,0,0,1,Orthodox,1.83,1.83,119.29,33,22,0,2,2,2,-1,6,-1,-1,2,27.94,30.48,11,9.5,3.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,1.0,39,0.65,0.0,0.0,0,0,0.0,1,4,0.09090909090909091,0.36363636363636365,-0.2727272727272727
Kenny Florian,Takanori Gomi,10,"Charlotte, North Carolina, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,1.7,1.78,70.31,0,1,0,23.6154,0.491,0.8462,1.5385,0.475,6,3,28,3,0,0,1,2,6,1,10,Southpaw,1.78,1.88,65.77,33,31,0,-1,-6,-10,3,-28,-3,-3,-6,-7.62,-10.16,2,-23.6154,-0.8462,-1.5385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,3.0,172,12.87,0.0,0.0,0,0,0.0,13,0,1.1818181818181819,0.0,1.1818181818181819
