RedFighter,BlueFighter,DaysSinceFirstFight,Location,Country,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueHeightMt,BlueReachMt,BlueWeightKg,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedHeightMt,RedReachMt,RedWeightKg,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,FinishRound,FinishRoundInSeconds,TotalFightTimeMins,DaysSinceLastFight_Red,DaysSinceLastFight_Blue,Momentum_Red,Momentum_Blue,RestTimeDif,RedTotalFights,BlueTotalFights,ActivityRatio_Red,ActivityRatio_Blue,ActivityRatioDif,BlueStance_Open Stance,BlueStance_Orthodox,BlueStance_Southpaw,BlueStance_Switch,BlueStance_Switch ,RedStance_Orthodox,RedStance_Southpaw,RedStance_Switch,Winner_Red,TitleBout_True,WeightClass_Catch Weight,WeightClass_Featherweight,WeightClass_Flyweight,WeightClass_Heavyweight,WeightClass_Light Heavyweight,WeightClass_Lightweight,WeightClass_Middleweight,WeightClass_Welterweight,WeightClass_Women's Bantamweight,WeightClass_Women's Featherweight,WeightClass_Women's Flyweight,WeightClass_Women's Strawweight,Gender_MALE,Finish_DQ,Finish_KO/TKO,Finish_M-DEC,Finish_Overturned,Finish_S-DEC,Finish_SUB,Finish_U-DEC,BetterRank_Red,BetterRank_neither
987,483,0,26,21,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.78,1.88,77.11,0,3,0,18.0,0.55,1.0,4.6667,0.79,3,0,9,0,0,2,0,1,0,0,3,1.7,1.8,77.11,27,29,0,-3,-3,-3,0,-9,0,-1,0,7.62,7.62,-2,-18.0,-1.0,-4.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,121,2.02,0.0,0.0,0,0,0.0,3,0,3.0,0.0,3.0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1376,740,6,92,21,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.8,1.85,77.11,1,0,0,45.75,0.638,1.0,3.75,0.503,3,1,12,0,0,0,3,0,0,0,3,1.85,1.88,77.11,24,23,1,0,-3,-3,1,-12,0,0,0,-5.08,-2.54,1,-45.75,-1.0,-3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,90,11.5,0.0,0.0,0,0,0.0,4,0,0.5714285714285714,0.0,0.5714285714285714,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True
715,466,6,92,21,5,0,4,0,36.25,0.413,0.0,0.5,0.313,4,0,10,0,0,2,1,1,0,0,4,1.83,1.88,77.11,0,6,0,48.2,0.577,1.0667,3.4,0.751,6,2,38,8,0,1,5,5,2,0,13,1.8,1.93,83.91,28,27,0,-2,-2,-9,2,-28,-8,-4,-2,2.54,-5.08,1,-11.95,-1.0667,-2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,300,25.0,0.0,0.0,0,0,0.0,15,4,2.142857142857143,0.5714285714285714,1.5714285714285714,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True
683,1824,6,92,21,5,0,3,0,7.3333,0.437,0.0,0.3333,0.167,3,0,3,0,0,0,0,3,0,0,3,1.88,2.03,120.2,0,1,0,10.3333,0.52,1.2667,0.8,0.351,4,4,20,3,0,0,1,2,7,0,11,1.9,2.01,119.75,30,35,0,2,-1,-8,4,-17,-3,1,-7,-2.54,2.54,-5,-3.0,-1.2667,-0.4667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,228,3.8,0.0,0.0,0,0,0.0,15,3,2.142857142857143,0.4285714285714285,1.7142857142857142,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1182,652,6,92,21,3,1,0,0,22.0,0.3,2.0,5.0,1.0,0,1,3,0,0,0,0,0,0,0,0,1.78,1.85,70.31,0,3,0,22.4444,0.477,0.5556,2.1111,0.606,3,3,20,0,0,0,2,1,3,0,6,1.73,1.78,70.31,30,31,-1,-3,-3,-6,2,-17,0,-1,-3,5.08,7.62,-1,-0.4444,1.4444,2.8889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,260,9.33,0.0,0.0,0,0,0.0,9,1,1.2857142857142858,0.1428571428571428,1.142857142857143,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
198,1002,6,92,21,3,0,3,0,32.8333,0.5,0.9167,3.0833,0.561,8,1,34,1,0,1,6,1,3,0,11,1.83,1.93,77.11,0,1,0,28.0,0.668,1.2,0.2,0.2,3,1,9,0,0,0,1,2,1,0,4,1.88,1.96,77.11,26,32,0,2,5,7,0,25,1,-1,2,-5.08,-2.54,-6,4.8333,-0.2833,2.8833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,300,15.0,0.0,0.0,0,0,0.0,5,12,0.7142857142857143,1.7142857142857142,-1.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True
1747,1962,6,92,21,3,0,3,0,28.75,0.455,0.25,2.25,0.68,3,1,6,0,0,0,0,2,1,0,3,1.85,1.93,92.99,0,2,0,12.75,0.338,1.75,2.75,0.58,2,1,9,0,0,0,1,0,2,0,3,1.73,1.8,77.11,30,28,0,1,1,0,0,-3,0,2,-1,12.7,12.7,2,16.0,-1.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45,0.75,0.0,0.0,0,0,0.0,4,4,0.5714285714285714,0.5714285714285714,0.0,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
1498,1742,6,92,21,3,1,0,0,4.0,0.275,0.0,0.0,0.0,1,1,2,0,0,0,0,1,0,0,1,1.83,1.8,77.11,1,0,0,23.0,0.409,1.4444,1.3333,0.476,5,3,20,1,0,1,0,0,5,0,6,1.83,1.93,77.11,24,28,0,0,-4,-5,2,-18,-1,1,-5,0.0,-12.7,-4,-19.0,-1.4444,-1.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,167,2.78,0.0,0.0,0,0,0.0,9,2,1.2857142857142858,0.2857142857142857,1.0,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1670,1360,6,92,21,3,0,3,0,32.8,0.622,1.8,0.4,0.3,3,1,11,0,0,0,0,3,1,0,4,1.83,1.9,77.11,0,2,0,19.1429,0.59,1.4286,2.8571,0.493,2,3,16,0,0,0,2,0,2,0,4,1.83,1.88,77.11,33,29,0,1,1,0,2,-5,0,3,-1,0.0,2.54,4,13.6571,0.3714,-2.4571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,210,8.5,0.0,0.0,0,0,0.0,7,5,1.0,0.7142857142857143,0.2857142857142857,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
1708,874,6,92,21,3,1,0,0,6.0,0.35,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1.9,1.9,83.91,1,0,0,15.0,0.42,2.0,7.0,0.46,0,1,3,0,0,0,0,0,0,0,0,1.75,1.83,92.99,28,28,0,0,0,0,0,-2,0,0,0,15.24,7.62,0,-9.0,-2.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,300,15.0,0.0,0.0,0,0,0.0,1,1,0.1428571428571428,0.1428571428571428,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True
