Fighter,Label
Dan Stittgen,473
Anton Kuivanen,142
Tim Means,1944
Stipe Miocic,1877
Riki Fukuda,1687
Takanori Gomi,1898
Yoshihiro Akiyama,2081
Mackens Semerzier,1269
Anthony Perosh,138
Oli Thompson,1550
Papy Abedi,1568
Jason Young,892
Simeon Thoresen,1846
Reza Madadi,1667
Francis Carmont,674
Keith Wisniewski,1138
Dennis Bermudez,536
John Dodson,983
Alex Soto,67
Jeff Curran,900
Rafael Dos Anjos,1627
Jason Miller,887
John Albert,977
Joe Proctor,967
Cristiano Marcello,440
Myles Jury,1485
Daron Cruickshank,507
Justin Lawrence,1096
Max Holloway,1382
Michael Chiesa,1400
Jake Hecht,841
Henry Martinez,768
Buddy Roberts,277
Demetrious Johnson,532
Eddie Wineland,602
Seth Baczynski,1812
Nick Catone,1512
Gray Maynard,738
Marcos Vinicius,1317
Thiago Perpetuo,1927
John Teixeira,994
Delson Heleno,531
Anistavio Medeiros,127
Fabricio Werdum,653
Godofredo Pepey,734
Cezar Ferreira,324
John Alessio,978
Rafaello Oliveira,1632
Cung Le,443
Marcelo Guimaraes,1304
Damacio Page,458
Karlos Vemola,1122
Antonio Carvalho,150
Hector Lombard,761
Philip De Fries,1607
John Moraga,991
Mike Swick,1447
Nik Lentz,1526
Benson Henderson,206
Mitch Gagnon,1460
Sean Pierson,1796
Andy Ogle,122
Che Mills,350
Tom Watson,1961
Darren Uyenoyama,513
Bart Palaszewski,187
Marcus LeVesseur,1320
Sergio Moraes,1809
Rony Jason,1737
Glover Teixeira,733
Yasuhiro Urushitani,2073
Rich Franklin,1676
Nick Penner,1520
Brendan Loughnane,244
Benny Alloway,204
Colin Fletcher,423
Robert Whittaker,1703
Mike Rio,1442
Johnny Bedford,995
Jared Papazian,875
Vinc Pichel,2018
Colton Smith,426
Erik Perez,640
Tim Boetsch,1937
Wagner Prado,2037
Diego Nunes,556
Francisco Trinaldo,681
Daniel Sarafian,486
Mike Stumpf,1446
Chico Camus,356
Tyron Woodley,1985
Alistair Overeem,88
Phil Harris,1604
Vaughan Lee,2003
Gunnar Nelson,746
Jimi Manuwa,938
Nah-Shon Burrell,1489
Jon Manley,1005
Kenny Robertson,1145
Ronda Rousey,1732
Mizuto Hirota,1465
George Roop,712
Mike Ricci,1441
Chris Spang,380
Michael Kuiper,1403
Tor Troeng,1969
Akira Corassani,30
Ryan Couture,1757
Gegard Mousasi,709
Josh Samman,1056
Bristol Marunde,260
Dylan Andrews,596
Luke Barnatt,1260
Sam Sicilia,1779
Bubba McDaniel,276
Miesha Tate,1423
Uriah Hall,1992
Clifford Starks,406
Sara McMann,1783
Gian Villante,721
Rustam Khabilov,1754
John Lineker,988
Jussier Formiga,1090
Lucas Martins,1243
Hacran Dias,750
Jacare Souza,823
Stephen Thompson,1862
Khabib Nurmagomedov,1158
Antonio Braga Neto,148
Rodrigo Damm,1712
Ildemar Alcantara,796
Caio Magalhaes,287
Thiago Silva,1929
William Patolino,2057
Alexis Davis,81
Ryan Jimmo,1761
Norman Parke,1543
Tim Kennedy,1943
Julie Kedzie,1078
Liz Carmouche,1227
Robbie Lawler,1698
Viscardi Andrade,2028
Ednaldo Oliveira,607
Ian McCall,786
Amanda Nunes,98
Thales Leites,1923
Vinny Magalhaes,2026
Cody Donovan,409
Conor McGregor,428
James Head,851
Zak Cummings,2098
Kelvin Gastelum,1140
Soa Palelei,1849
Jamie Varner,867
Yuri Villefort,2087
Joao Zeferino,953
Michel Prazeres,1414
Nandor Guelmino,1491
Pat Healy,1573
Chris Clements,363
Yan Cabral,2064
Iliarde Santos,798
Alan Patrick,36
Jeremy Larsen,911
Gilbert Melendez,724
Daniel Cormier,476
Al Iaquinta,31
Bradley Scott,234
Rosi Sexton,1744
Derek Brunson,542
Neil Magny,1508
Jorge Masvidal,1026
Bobby Green,220
Jose Maria,1033
Adriano Martins,25
Santiago Ponzinibbio,1781
Rafael Feijao,1629
Jason High,884
Tim Elliott,1939
Joshua Sampo,1062
Sean Spencer,1800
Jared Rosholt,876
Roxanne Modafferi,1748
Jessamyn Duke,915
Chris Holdsworth,373
Julianna Pena,1077
Ben Wall,200
Bruno Santos,268
Richie Vaculik,1680
Abel Trujillo,13
Chris Weidman,384
Josh Barnett,1043
Katsunori Kikuno,1128
Leandro Issa,1205
Dustin Kimura,589
Mairbek Taisumov,1281
Royston Wee,1750
Kyung Ho Kang,1194
Kiichi Kunimoto,1168
Tatsuya Kawajiri,1911
Tarec Saffiedine,1907
Alptekin Ozkilic,94
Trevor Smith,1977
Isaac Vallie-Flagg,806
Yoel Romero,2076
Lorenz Larkin,1232
Luke Rockhold,1262
Walt Harris,2041
George Sullivan,714
Junior Hernandez,1087
Anthony Rocco Martin,140
Clint Hester,407
Douglas Silva de Andrade,579
Ernest Chavez,643
Zach Makovsky,2095
Cody Gibson,413
Jumabieke Tuerxun,1082
Albert Cheng,38
Kazuki Tokudome,1133
