Fighter,Label
Carlos Felipe,306
Malcolm Gordon,1286
Roman Dolidze,1727
Tom Aspinall,1952
Tanner Boser,1906
Khamzat Chimaev,1164
Johnny Munoz,998
Irwin Rivera,804
Youssef Zalal,2084
Maki Pitolo,1284
Yana Kunitskaya,2066
Chris Daukaus,366
TJ Brown,1885
Amanda Lemos,97
Carlton Minus,316
Timur Valiev,1947
Ike Villanueva,794
Marcin Prachnio,1308
Viviane Araujo,2032
Andre Muniz,110
Alexandr Romanov,77
Journey Newson,1066
Darrick Minner,514
William Knight,2056
Luigi Vendramini,1249
Jordan Williams,1023
Kyler Phillips,1192
Yorgan De Castro,2079
Dequan Townsend,541
Tracy Cortez,1971
Ali AlQaisi,83
Impa Kasanganay,800
Jamie Mullarkey,865
Mateusz Gamrot,1355
Said Nurmagomedov,1771
Jacob Malkoun,831
Cole Williams,422
Adrian Yanez,24
Gustavo Lopez,748
Don'Tale Mayes,570
Louis Cosce,1233
Joaquin Buckley,955
Kyle Daukaus,1185
Spike Carlyle,1854
Josh Parisian,1054
Jonathan Pearce,1012
Ilia Topuria,797
Jimmy Flick,941
Tafon Nchukwi,1893
Jacob Kilburn,830
David Zawada,528
Victoria Leonardo,2014
Umar Nurmagomedov,1991
Francisco Figueiredo,677
Lerone Murphy,1214
Amir Albazi,101
SeungWoo Choi,1815
Mike Rodriguez,1443
Gabe Green,689
Serghei Spivac,1808
Phil Hawes,1605
Vince Cachero,2019
Jairzinho Rozenstruik,837
Uros Medic,1994
Charles Jourdain,337
Matthew Semelsberger,1377
Gloria de Paula,732
Jonathan Martinez,1010
Manel Kape,1290
Cheyanne Buys,354
Jared Gooden,872
Da-Un Jung,453
Luis Saldana,1254
Nina Nunes,1534
Tony Gravely,1965
Aori Qileng,155
Pat Sabatini,1574
Na Liang,1486
Zhang Weili,2107
Andreas Michailidis,115
Kai Kamaka,1107
Christian Aguilera,386
Ludovit Klein,1248
Jordan Wright,1024
Rafael Alves,1625
David Dvorak,522
Josh Culibao,1047
Manon Fiorot,1293
Dusko Todorovic,586
Fares Ziam,654
Casey O'Neill,319
Kanako Murata,1117
Khaos Williams,1165
Wellington Turman,2048
Shavkat Rakhmonov,1834
Zhalgas Zhumagulov,2104
Jennifer Maia,906
Ryan Hall,1758
Alan Baudot,32
Nassourdine Imavov,1495
Miranda Maverick,1455
Phil Rowe,1606
Jinh Yu Frey,946
Niklas Stolze,1529
Collin Anglin,424
Vince Morales,2020
Sasha Palatnikov,1788
Parker Porter,1569
Trevin Jones,1975
Mana Martinez,1288
Bryan Battle,272
Andre Petroski,111
Ricky Turcios,1686
Paddy Pimblett,1565
Erin Blanchfield,642
Nate Maness,1500
Rong Zhu,1733
Arman Tsarukyan,162
Cody Brundage,408
Stephanie Egger,1859
Steve Garcia,1866
Loopy Godinez,1231
Istela Nunes,813
Batgerel Danaa,190
Jamie Pickett,866
Mason Jones,1353
Jeff Molina,903
Tabatha Ricci,1891
JunYong Park,1083
Khama Worthy,1163
Tagir Ulanbekov,1894
Albert Duraev,39
Ian Garry,782
CJ Vergara,281
Melsik Baghdasaryan,1395
Alex Pereira,64
Luana Pinheiro,1239
Shayilan Nuerdanbieke,1836
Cody Durden,410
Rafa Garcia,1624
Joanne Wood,952
Cheyanne Vlismas,355
Dustin Stoltzfus,594
Jordan Leavitt,1019
Dakota Bush,456
Brandon Royval,239
Bill Algeo,213
Silvana Gomez Juarez,1845
Jack Della Maddalena,824
Michael Morales,1406
Jason Witt,891
Jailton Almeida,836
Chidi Njokuani,357
Tresean Gore,1973
AJ Dobson,2
Jeremiah Wells,908
Carlos Ulberg,312
Chad Anheliger,325
Rongzhu,1734
Victor Altamirano,2009
Ramiz Brahimaj,1635
Terrance McKinney,1918
Josiane Nunes,1065
Armen Petrosyan,163
Kris Moutinho,1176
Damon Jackson,464
Cory McKenna,433
Jai Herbert,835
Muhammad Mokaev,1480
Matheus Nicolau,1357
Aliaskhab Khizriev,86
Askar Askarov,169
Piera Rodriguez,1612
Anthony Hernandez,133
Alatengheili,37
Chris Barnett,359
Drakkar Klose,580
Mounir Lazzez,1478
Caio Borralho,285
Dean Barry,529
Preston Parsons,1617
Aoriqileng,156
Natan Levy,1497
Daniel Lacerda,479
Kleydson Rodrigues,1172
Andre Fialho,107
Michael Chandler,1399
Jake Hadley,840
Tatsuro Taira,1910
Virna Jandiroba,2027
Nick Maximov,1517
Joseph Holmes,1040
Elise Reed,619
Omar Morales,1555
Rinat Fakhretdinov,1689
Karine Silva,1119
Ode Osbourne,1549
Liang Na,1220
Ramona Pascual,1637
Maheshate,1278
Jasmine Jasudavicius,881
Maria Oliveira,1322
Vanessa Demopoulos,2001
Chris Curtis,365
JP Buys,822
Ronnie Lawrence,1735
David Onama,526
Jared Vanderaa,877
Michelle Waterson-Gomez,1417
Mandy Bohm,1289
Orion Cosce,1557
Joselyne Edwards,1038
Brogan Walker,263
Mohammed Usman,1468
Martin Buday,1344
Yazmin Jauregui,2074
AJ Fletcher,3
Benoit Saint Denis,205
Abus Magomedov,17
William Gomis,2055
Darian Weeks,505
Melissa Martinez,1392
Norma Dumont,1542
Denis Tiuliulin,534
Denise Gomes,535
Trey Ogden,1978
Nikolas Motta,1531
Joe Pyfer,968
John Castaneda,980
Joanderson Brito,949
Mike Jackson,1432
Christian Rodriguez,390
Josh Fremd,1050
Waldo Cortes-Acosta,2039
Tamires Vidal,1905
Carlos Candelario,303
Liudvik Sholinian,1225
Natalia Silva,1496
Brady Hiestand,235
Charles Johnson,336
Marcelo Rojo,1305
Cameron Saaiman,293
Raul Rosas Jr.,1653
Sergey Morozov,1807
Javid Basharat,893
Dan Argueta,465
Allan Nascimento,90
Claudio Ribeiro,400
Mateusz Rebecki,1356
Ismael Bonfim,809
Luan Lacerda,1237
Gabriel Bonfim,692
Saimon Oliveira,1773
Gregory Rodrigues,742
SeungGuk Choi,1814
Jeka Saragih,904
Toshiomi Kazama,1970
Yusaku Kinoshita,2088
JeongYeong Lee,907
Da Woon Jung,451
Jack Jenkins,826
Shannon Ross,1831
Clayton Carpenter,405
Nazim Sadykhov,1507
Erick Gonzalez,635
Mike Malott,1435
Ian Machado Garry,785
Esteban Ribovics,646
Da'Mon Blackshear,452
Bo Nickal,219
Karl Williams,1121
Carlston Harris,315
Ariane da Silva,159
Victor Henry,2010
Sedriques Dumas,1803
Vitor Petrino,2031
Chris Duncan,368
Juliana Miller,1076
Christian Leroy Duncan,388
Sam Patterson,1778
Ignacio Bahamondes,789
Jaqueline Amorim,870
Bruna Brasil,265
Ricky Glenn,1683
Francis Marshall,675
Iasmin Lucindo,787
Josh Quinlan,1055
Hailey Cowan,751
Braxton Smith,242
Kron Gracie,1177
Emily Ducote,626
Daniel Santos,485
Zac Pauga,2094
Tereza Bleda,1917
Carlos Hernandez,307
Manuel Torres,1296
Trevor Peek,1976
Brunno Ferreira,266
Ivana Petrovic,818
Guram Kutateladze,747
Yana Santos,2067
Kamuela Kirk,1116
Viktoriia Dudakova,2017
Alexander Munoz,73
Evan Elder,649
Tucker Lutz,1981
Shauna Bannon,1833
Jafel Filho,834
Mick Parkin,1420
Diego Lopes,555
Billy Ray Goff,215
Rinya Nakamura,1690
Junior Tafa,1088
Morgan Charriere,1475
Zarah Fairn,2100
Farid Basharat,655
Nora Cornolle,1539
Ange Loosa,123
Kevin Jousset,1154
Blood Diamond,218
Josefine Knutsson,1037
Alex Reyes,66
Daniel Zellhuber,490
Fernando Padilla,668
Mizuki,1463
Rafael Fiziev,1630
Irina Alekseeva,803
Tainara Lisboa,1897
Mohammad Yahya,1467
Mike Breeden,1426
Abu Azaitar,15
Ikram Aliskerov,795
Shara Magomedov,1832
Eduarda Moura,609
Elves Brener,623
Kaue Fernandes,1129
Steve Erceg,1865
Dennis Buzukja,537
Joshua Van,1063
Jiri Prochazka,947
Lucie Pudilova,1246
Payton Talbott,1592
Veronica Hardy,2005
Rodolfo Bellato,1709
Zachary Reese,2096
HyunSung Park,780
Luana Santos,1240
Rayanne dos Santos,1658
Westin Wilson,2050
Marcus McGhee,1321
Yohan Lainesse,2077
Serhiy Sidey,1811
Thomas Petersen,1934
Landon Quinones,1197
Themba Gorimbo,1924
Gilbert Urbina,726
Azat Maksum,183
Fernie Garcia,669
Robert Bryczek,1700
Bolaji Oki,227
Oban Elliott,1547
Zhang Mingyang,2106
Cristian Quinonez,439
Erik Silva,641
Ronaldo Rodriguez,1731
Edgar Chairez,604
Jesus Aguilar,930
Abdul-Kareem Al-Selwady,11
Vinicius Oliveira,2023
Robelis Despaigne,1699
Katlyn Cerminara,1126
Charalampos Grigoriou,334
Igor Severino,792
Montserrat Rendon,1474
Jarno Errens,879
Angel Pacheco,124
Ibo Aslan,788
Nursulton Ruziboev,1544
Melissa Mullins,1393
Dylan Budka,597
Pedro Falcao,1594
Valter Walker,2000
King Green,1169
James Llontop,854
Marnic Mann,1342
Austen Lane,176
Alessandro Costa,51
Dione Barbosa,560
Mauricio Ruffy,1380
Oumar Sy,1560
Victor Martinez,2012
Mitch Raposo,1462
Ailin Perez,27
Cesar Almeida,322
Charles Radtke,339
Carli Judice,300
Melquizael Costa,1394
Asu Almabayev,172
Timmy Cuamba,1946
Xiao Long,2062
Magomed Gadzhiyasulov,1276
Muhammad Naimov,1481
Rei Tsuruya,1660
Loik Radzhabov,1228
Azamat Murzakanov,182
Shamil Gaziev,1820
Jhonata Diniz,932
Stephanie Luciano,1860
Danny Barlow,494
Stewart Nicoll,1876
Tom Nolan,1960
Dricus Du Plessis,583
Viacheslav Borshchev,2007
Wang Cong,2043
Jacqueline Cavalcanti,833
Kaan Ofli,1105
Robert Valentin,1702
Zygimantas Ramaska,2111
Yizha,2075
Felipe dos Santos,665
Isaac Dulgarian,805
Daniel Barez,475
Julia Polastri,1072
Jamey-Lyn Horth,863
Caio Machado,286
Mansur Abdul-Malik,1294
Gaston Bolanos,706
Bassil Hafez,189
Baergeng Jieleyisi,185
Lone'er Kavanagh,1230
Nyamjargal Tumendemberel,1546
Shi Ming,1841
Kiru Sahota,1170
Paul Buentello,1581
Julio Paulino,1081
Chase Gormley,347
Shannon Gugerty,1830
Greg Soto,740
Rory Markham,1742
Lucio Linhares,1247
Ronys Torres,1738
Matt Veach,1373
Mostapha Al-Turk,1476
Brad Blackburn,229
Renzo Gracie,1665
Jonathan Goulet,1009
John Salter,993
Tim Hague,1941
Paul Daley,1583
Ryan Jensen,1760
Joe Brammer,959
Dan Lauzon,470
Jesse Lennox,919
Gilbert Yvel,727
Martin Kampmann,1346
James Hammortree,850
Mark Holst,1332
Chris Tuchscherer,382
Goran Reljic,736
Ricardo Romero,1674
Steve Steinbeiss,1870
James Toney,859
Amilcar Alves,100
Gabe Ruediger,690
David Mitchell,525
Curt Warburton,444
Vinicius Queiroz,2024
Carlos Eduardo Rocha,305
Mark Scanlon,1337
Alexandre Ferreira,79
TJ O'Brien,1889
Maiquel Falcao,1280
Aaron Wilkinson,9
Pablo Garza,1563
Nick Pace,1519
Kyle Watson,1191
Tyler Toner,1984
Antonio McKee,152
Willamy Freire,2054
Antonio Banuelos,147
Jason Reinhardt,889
Charlie Valencia,344
Jorge Santiago,1028
Shamar Bailey,1817
Tim Credeur,1938
Jon Olav Einemo,1006
Edward Faaloloto,611
Matt Grice,1363
Javier Vazquez,894
Donny Walker,577
Paul Bradley,1580
Luis Ramos,1253
Stanislav Nedkov,1855
Jorge Lopez,1025
Lance Benoist,1195
Eddie Yagin,603
Byron Bloodworth,278
Matt Lucas,1367
Dustin Neace,590
Josh Ferguson,1049
Stephen Bass,1861
Josh Clopton,1045
John Cholish,981
Carlo Prater,302
Nick Denis,1513
Pat Schilling,1575
Tommy Hayden,1963
Eric Wisely,634
Lavar Johnson,1203
Bernardo Magalhaes,208
Issei Tamura,812
Eiji Mitsuoka,614
Besam Yousef,209
Yoislandy Izquierdo,2078
Tom DeBlass,1955
Chad Griggs,326
Shane del Rosario,1828
Chris Saunders,379
Chris Tickle,381
John Cofer,982
Brock Jardine,261
Joey Gambino,975
CJ Keith,280
Wagner Campos,2036
Ulysses Gomez,1990
Roger Hollett,1717
Jay Hieron,896
Motonobu Tezuka,1477
Azamat Gashimov,181
Manuel Rodriguez,1295
Milton Vieira,1452
Caros Fodor,317
Quinn Mulhern,1622
Adlan Amagov,23
Adam Cella,18
Jimmy Quinlan,942
Collin Hart,425
Gilbert Smith,725
Roger Bowling,1715
Sheila Gaff,1838
Eddie Mendez,601
Brian Melancon,256
Roger Gracie,1716
Garett Whiteley,702
Brian Houston,254
Peggy Morgan,1596
Jon Delos Reyes,1001
Dave Galera,517
Shunichi Shimizu,1843
Will Chope,2053
Mike Rhodes,1440
Gasan Umalatov,705
Rashid Magomedov,1652
Andy Enz,121
Takenori Sato,1900
Danny Mitchell,500
Mats Nilsson,1358
Hans Stringer,755
Tim Gorman,1940
Mike de la Torre,1449
Sean O'Connell,1794
Jack May,828
Matt Hobar,1365
Roger Narvaez,1718
Josh Shockley,1057
Dashon Johnson,516
Shane Howell,1825
Rodrigo de Lima,1714
Guilherme Vasconcelos,745
Daniel Spohn,488
Guto Inocente,749
Jerrod Sanders,914
Tina Lahdemaki,1948
Mike King,1433
Chris Heatherly,372
Milana Dudieva,1450
Jianping Yang,934
Cain Carrizosa,283
Shayna Baszler,1837
Masanori Kanehara,1351
Rin Nakai,1688
Roman Salazar,1729
Rodolfo Rubio,1710
Nina Ansaroff,1533
Leonardo Morales,1212
Humberto Brown,776
Josh Copeland,1046
Justin Jones,1095
Heather Jo Clark,759
Lisa Ellis,1223
Willie Gates,2058
Antonio Dos Santos,151
Konstantin Erokhin,1174
Paul Redmond,1586
Cody Pfister,416
Alex Torres,68
Fredy Serrano,688
Rocky Lee,1707
Levan Makashvili,1216
Leo Kuntz,1207
Ericka Almeida,638
Steve Kennedy,1867
Lewis Gonzalez,1217
Sirwan Kakai,1847
Joe Merritt,966
Tony Sims,1967
Dominic Waters,564
Andrew Holbrook,119
Dileno Lopes,559
Fernando Bruno,667
Geane Herrera,708
Nazareno Malegarie,1506
Roger Zapata,1719
Anton Zafir,144
Enrique Marin,630
Nathan Coy,1503
Abner Lloveras,14
Marcin Wrzosek,1310
Joey Gomez,976
Mehdi Baghdad,1389
Felipe Olivieri,663
Alex Nicholson,62
Leonardo Augusto Leleco,1210
Augusto Mendes,173
Martin Svensson,1348
Jarjis Danho,878
Cristina Stanciu,441
Darrell Horcher,508
Jonathan Meunier,1011
JC Cottrell,820
Jason Novelli,888
Chris Avila,358
Alessandro Ricci,52
Felipe Silva,664
Jimmy Wallhead,943
Michael McBride,1404
Christian Colombo,387
Ryan Janes,1759
Brian Camozzi,251
Saparbeg Safarov,1782
Marcel Fortuna,1302
Cindy Dandois,395
Chanmi Jeon,333
Ashkan Mokhtarian,166
Michel Quinones,1415
Tom Gallicchio,1957
Nick Roehrick,1522
Jesse Taylor,922
James Bochnovic,849
Terrion Ware,1920
Galore Bofando,701
Abdul-Kerim Edilov,12
Aleksandar Rakic,47
Zu Anyanwu,2108
Jodie Esquibel,958
Bharat Kandare,212
Sheymon Moraes,1840
Rachael Ostovich,1623
Tim Williams,1945
Dmitry Sosnovskiy,562
Dan Moret,472
Ricky Rainey,1684
Craig White,437
Carlo Pedersoli,301
Jose Torres,1036
Chance Rencountre,331
Melinda Fabian,1390
Hector Aldana,760
Allan Zuniga,91
Richie Smullen,1679
Joe Giannetti,963
Stefan Sekulic,1856
Jin Soo Son,945
Chris Fishgold,369
Bobby Moffett,221
Anderson Dos Santos,104
Jesus Pinedo,931
Leah Letson,1204
Michel Batista,1412
Justin Frazier,1092
Felipe Colares,661
Taila Santos,1896
Sarah Frota,1785
Marcos Mariano,1314
Klidson Abreu,1173
Ben Askren,195
Jeff Hughes,902
Alex Da Silva,57
Thomas Gifford,1933
Carlos Huachin,308
Derrick Krantz,545
Danilo Belluardo,492
Duda Santana,585
Sergey Khandozhko,1806
Sung Bin Jo,1883
Rocco Martin,1706
Nohelin Hernandez,1537
Brianna Van Buren,259
Yoshinori Horie,2082
Krzystof Jotko,1178
Hannah Goldy,754
Lara Procopio,1198
Mizuki Inoue,1464
Derrick,544
Tristan Connelly,1980
Don'tale Mayes,571
Isabela De Pauda,807
Eduardo Garagorri,610
Omar Antonio Morales Ferrer,1554
Ode Obsourne,1548
Luci Pudilova,1245
Kalinn Williams,1113
Youssef Zalel,2085
Shanna Young,1829
Marcos Rogerio De Lima,1315
Joshua Culibao,1061
Zarrukh Adashev,2101
Justin Jaynes,1094
Max Rohskopf,1383
Zhalgas Zhamagulov,2103
Maxim Grishin,1384
Roman Bogatov,1726
Raphael Pessoa,1647
Rhys McKee,1668
Ali Qaisi,85
Peter Barrett,1598
Alex Munoz,61
Danny Chavez,496
Austin Springer,180
Ray Rodriguez,1657
Roque Martinez,1740
Kevin Croom,1151
Sarah Alpar,1784
TJ Laramie,1888
Jerome Rivera,913
Danilo Marques,493
Cameron Else,292
Tony Kelley,1966
KB Bhullar,1103
Mark Striegl,1338
Liliya Shakirova,1221
Phillip Hawes,1610
Kevin Natividad,1156
Victor Rodriguez,2013
Charlie Ontiveros,343
Jamey Simmons,862
John Allan,979
Sam Hughes,1777
Gaetano Pirrello,700
Philip Rowe,1608
Drako Rodriguez,581
Jesse Strader,921
Harry Hunsucker,756
Montserrat Conejo,1472
Fabio Cherant,650
Juancamilo Ronderos,1070
Melissa Gatto,1391
Saidyokub Kakhramonov,1772
Micheal Gillmore,1411
Brandon Jenkins,237
Martin Sano,1347
Zviad Lazishvili,2110
Bruno Souza,270
Genaro Valdez,710
Pete Rodriguez,1597
Denys Bondar,540
Jay Perrin,897
Gadzhi Omargadzhiev,698
Cameron VanCamp,295
Askar Mozharov,170
Lucas Almeida,1242
Garrett Armfield,704
Sumudaerji,1882
Adam Fugitt,19
Ihor Potieria,793
Lukasz Brzeski,1258
Gabriel Miranda,694
Michal Figlak,1409
Anton Turkalj,143
Danyelle Wolf,503
Chelsea Chandler,352
Don Shainis,569
Lucas Alexander,1241
Joshua Weems,1064
Carlos Mota,310
Steven Koslow,1871
Mateus Mendonca,1354
Nick Aguirre,1511
Nick Fiore,1515
Daniel Marcos,480
Anshul Jubli,129
Francisco Prado,678
Blake Bilder,217
Khusein Askhabov,1166
Jamal Pogues,847
Nurullo Aliev,1545
Carl Deaton,298
Gabriella Fernandes,697
Gabriel Santos,695
Yanal Ashmouz,2068
Vinicius Salvador,2025
Trey Waters,1979
Rolando Bedoya,1723
Muin Gafurov,1482
Ketlen Souza,1146
Jesse Butler,917
Chepe Mariscal,353
Terrence Mitchell,1919
Val Woodburn,1996
Jonny Parsons,1015
Darrius Flowers,515
Jose Johnson,1032
Montserrat Conejo Ruiz,1473
Manolo Zecchini,1292
Yanis Ghemmouri,2070
Bogdan Guskov,224
Caolan Loughran,297
Kiefer Crosbie,1167
Charlie Campbell,342
Brendon Marotte,247
Ravena Oliveira,1655
Kaynan Kruschewsky,1132
Kevin Borjas,1149
Rafael Estevam,1628
Myktybek Orolbai,1484
Talita Alencar,1902
Felipe Bunes,660
Jean Silva,899
Ramon Taveras,1636
MarQuel Mederos,1298
Carlos Prates,311
Hyder Amil,778
Carlos Vera,313
Brendson Ribeiro,248
AJ Cunningham,1
Benardo Sopaj,201
Bekzat Almakhan,193
Michael Page,1407
Mitch Ramirez,1461
Danny Silva,502
Andre Lima,109
Daria Zhelezniakova,504
Steven Nguyen,1872
Luis Pajuelo,1251
Connor Matthews,427
Jean Matsumoto,898
Victor Hugo,2011
Kayla Harrison,1131
Chris Padilla,378
Ernesta Kareckaite,644
Tecia Pennington,1914
Tuco Tokkos,1982
Puja Tomar,1619
ChangHo Lee,332
Felipe Lima,662
Antonio Trocoli,154
Fatima Kline,656
Alice Ardelean,87
Jordan Vucenic,1022
Quang Le,1621
Nikolay Veretennikov,1532
Jose Daniel Medina,1031
Mairon Santos,1282
Ryan Loder,1763
Nathan Fletcher,1504
Ivan Erslan,815
Ramazan Temirov,1634
Lucas Rocha,1244
Cody Haddon,414
Sean Sharaf,1797
Cameron Smotherman,294
Carlos Leal,309
Rafael Cerqueira,1626
Klaudia Sygula,1171
Zachary Scroggin,2097
Cortavious Romious,430
Reinier de Ridder,1661
Roberto Romero,1704
SuYoung You,1879
Jose Ochoa,1034
Feng Xiaocan,666
DongHun Choi,575
Ozzy Diaz,1562
Kai Asakura,1106
